SRID;Кол-во;Доход_от_продажи;Расход_логистика;Расход_хранение;Прочие_удержания;Компенсация;Баланс;Возврат
11070169;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070170;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11070171;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071048;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071049;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071050;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071054;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071056;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071057;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071058;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071059;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071060;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071061;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071062;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11071730117022285.0.0;2;0.00;206.42;0.00;0.00;0.00;-206.42;НЕТ
11073697116756162.1.0;2;0.00;124.55;0.00;0.00;0.00;-124.55;НЕТ
11088626116394333.1.0;0;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11103152616425399.19.0;0;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11118139617211915.0.0;4;0.00;221.91;0.00;0.00;0.00;-221.91;НЕТ
11118139617211915.1.0;2;0.00;273.48;0.00;0.00;0.00;-273.48;НЕТ
11118139617211915.2.0;2;0.00;233.37;0.00;0.00;0.00;-233.37;НЕТ
11118139617211915.3.0;3;2021.00;137.52;0.00;0.00;0.00;1883.48;НЕТ
11145745;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145746;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145747;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145748;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145749;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145750;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145751;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145752;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145753;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145754;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11145755;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11146676;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11146677;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11146678;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11146685;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11146691;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11146692;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147313;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147314;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147315;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147316;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147317;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147318;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147319;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147320;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147321;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147322;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147323;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147324;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11147325;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148316;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148317;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148318;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148319;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148320;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148321;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148322;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148323;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148337;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148342;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148345;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148346;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148347;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148348;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11148349;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1114950;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1114951;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11259210117323076.0.0;2;0.00;187.36;0.00;0.00;0.00;-187.36;НЕТ
11265696617461406.7.0;0;0.00;187.36;0.00;0.00;0.00;-187.36;НЕТ
1127082;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1127618;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301610;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301611;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301612;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301613;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301614;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301615;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301616;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301617;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301618;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11301619;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302516;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302517;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302518;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302519;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302520;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302521;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302532;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302533;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302534;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302535;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302536;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302537;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11302538;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11313722617403601.0.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11313722617403601.1.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320641;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320642;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320643;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320644;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320645;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320646;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320647;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320648;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320649;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320650;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320651;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11320652;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321610;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321611;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321612;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321613;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321614;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321615;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321622;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321623;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321635;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321642;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321643;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321644;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11321645;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
